path,ok,ocr
A01375071406362000001_002_201804.jpg,True,CONFIANCE S AGENE LMOBILEE 04 90 3 06 IMMO 14 73 VENDRE A GOOGLE
A01375071406362000001_003_201804.jpg,False,
A01375071406362000001_004_201804.jpg,False,
A02717111434254000001_001_201809.jpg,False,LIEW 2018 SEPT CMA DADIGGOOGIE VUNORE OREN ANCE
A02938859101959000003_001_201904.jpg,False,SEBASTIEN MARIE GOOGLE
A02938859101959000003_002_201904.jpg,True,VENDRE MN SEBASTIEN MARIE AES S PLACEMENLS VAE GOOGLE
A02938859101959000003_003_201904.jpg,False,ASTO ALO M EEE LE SSTNCE SERENCE ASEE BEO GOOGLE
A03459051535307000002_001_201806.jpg,False,BOUCHERIE EURO PIZZAS GOOGLE
A03459051535307000002_002_201806.jpg,True,A LOUER SEEE
A04049061437605000001_001_201506.jpg,False,ULEA GOOGLE
A04049061437605000001_002_201607.jpg,False,QUITAINE UIL 2016 S5 UPALII 2 C CEDI GOOGLE DE DATE DIM
A04049061437605000001_003_201607.jpg,False,19 D652 X NOUVELLEAQUITAINE CAPBRETON GOOGLE G SUREET VIEW JUIL 2016 FLOLEF OS TRE ECESLO AUBE ARLE S BOARA E
A04525121512967000001_002_201608.jpg,True,LOUER A 128TE 0G UEUL CEES
A05706111375110000001_001_201606.jpg,False,EPHEMERE BOUTIQUE LA CONCEPT TES VOTRE EZ DUREO LONGUE OL COURTE OCATION POSSIBLOS ACTIWLES AUTER PROCOMM 03 871 81 LUCIA MODE ORN B ST 811
A05935101226737000001_001_201810.jpg,False,
A05935101226737000001_002_201810.jpg,True,ALOUER A LOUER CANABEO WELIE E SS
A05935101226737000001_003_201810.jpg,True,33 GOUVENEMENT RUE DU DOUAL HAUTSDEFRANCE GOOGLE 2018 STREET VIEWS OCL 38 GRANDE JE
A05987019114107000002_002_201710.jpg,False,POINTSOL STUDLO SUN EOA EREOAUL OIN PON SWEETES LACOUEAU LUE DE CRENG DOIRES VINES
A05987019114107000002_003_201710.jpg,True,PONSOL ETNS ALOUER ALPLEN VOUS SUU NDEZ ASCRE MARECHAL MANT SUDIO STOP POINT NON O3ZOSTTT ZOSIVERT SOLEIL 21430 LLE 8H30 ENTREE COOR UDLOSUA CLAIRE LS CLAIRES LACQUEMANTDE ES NAUENIDELLE ACEESSORIES CCESSORIES A GOD NOUTT GRAUS NOIIS JACHETEST S GRATUITS PO
A05987081405949000001_001_201506.jpg,True,A LOUER BUREAUX CBRE 05 0 21 88 SO ERIM GOOGLE
A05987081405949000001_002_201807.jpg,False,MELLCURTAUX COM
A05987081405949000001_003_201807.jpg,False,PARKINGS COUR V DE VILLE RUPUILOVE PLALA RIUURPINEN GRAND PLSCE MELLEURTAUX EURTAUX COM
A06099999155821000001_001_201307.jpg,False,MARCELIN BERTHELOT OISE DEFRANCE HAUTS SUR OGLE JUIL 2013 EW DEO OON GONUL SHET EE
A06448071249705000001_001_201606.jpg,False,LE ET VIEW OCT 2018 POUYANNE POU BATTHO LS P DES EVARD E L
A06448071249705000001_002_201606.jpg,False,2016 STREET VIEW JUIN NAUE BA POUYANNE OSNOE POUJANNE LOL VRAISONS DE GH 1ON O WIE
A06448071249705000001_003_201606.jpg,False,BANQUE POUYANNE
A06448071249705000001_004_201606.jpg,False,
A07316121349936000001_001_201810.jpg,False,D 150 VEHICULES DISPONIBLE DJOCCASION GOOGLE
A07316121349936000001_002_201810.jpg,False,103 RUE PASTEUR RHONEALPES ALBERTVILLE AUVERGNE GOOGLE STREET VIEW OCT 2018 LON XD WABBN 150 VEHICULES
A07578029108009000001_001_201806.jpg,False,M DE FRUITS TECHIN A TEE ENTD NNAAN OUN ON D GOOGLE
A07578029108009000001_002_201806.jpg,True,SSES NEAERANCE JUIN 2018 L OAD ALOUER PI OT COODLE OTE
A07578121244727000002_001_201806.jpg,True,127 RUE GARIBALDI LLEDEFRANCE SAINTMAURDES FOSSES GOOGLE STREET VIEW 2018 JUIN ALOUER DES O1 A1 AL 00 60 UITES ANTIG BAK RE S EDRU DATE DE LRIMAGE D 2019 FRANCE CONDITIONS SIGNALER
A07578121244727000002_002_201806.jpg,True,LI LLEDEFRANCE SSEST JUIN 2018 LOUER A 06 7 86 2587 ATELIERS 70180 M2 01 41 81 00 66 GOOGLE
A07649009108472000003_001_201904.jpg,False,CANS LA CHAASE GOOGLE
A07649009108472000003_002_201904.jpg,False,BONN B CAFE RASSEWIE JUPIRS C LES HASSEWRS OUE PAR
A07649009108472000003_003_201904.jpg,False,
A07649009108472000003_004_201904.jpg,True,LOUE PAR LOOMMOOLE YERVILLE 02 5 55
A07679091317428000001_001_201810.jpg,True,CAILLARD P PAYAND ELABIMMOS TI ALOUER MAZNS 5A PLICON GOOGLE DATE DE 21 IMAGE OCE
A08017009105187000001_001_201806.jpg,False,MARIONNAUD GRENADINE TUELL GOOGLE
A08017009105187000001_002_201806.jpg,False,D CHOCOLALS GRENADINE CHOCOLATS GOOGLE
A08017009105187000001_003_201806.jpg,False,NNAUD IS CHARDAL GRENADINE GOOGLE
A08017019105214000001_001_201806.jpg,False,PLACE 3 JACQUES BECQ ABBEVILLE DEFRANCE HAUTS GOOGLE STREET 2018 VIEW JUIN CROQUEMBOUCS LE HE VAMKAMES MOUTEWRAGLEAE PENIN COMMAG T DABBEVILLE ILLE YNDICAT MIXTE AIE SOMME DE E
A08017019105214000001_002_201806.jpg,True,ZPLACE JACQUES BECQ ABBEVILLE DEFRANCE HAUTS GOOGLE STREET VIEW 2018 JUIN A LOUER T DELAHALE 072277 80 ILLE DABBEVILLE YNDICAT MIXTE DE SOMME ALE E
A08017039105368000001_002_201804.jpg,False,MENAY SNATN GUD CLIORS 50 2 224 05 DLIDENCE
A08017039105368000001_003_201804.jpg,False,BONAPALE LE HESIDENCE FRANCE ASSURANCES GENERALL GENCRALI GENA PVG LANDY GOOGLE
A08359829101738000003_001_201710.jpg,True,COO YN OOOLE 02018 C 20OO DPTIC MIM DC A NOUNELLE VLE TAAON UNS ZPARE LOUER OAAS GOOGLE
A08969101692767000001_001_201806.jpg,False,BURGER GOOGLE
A08969101692767000001_002_201806.jpg,False,ACUER TROID OBOA
A10233849101504000003_001_201808.jpg,True,S VENRE CND E MMOBILIERE DROUX MAA SATHERINE CANDAT OAOUE CE GOOGLE G
A10233849101504000003_002_201808.jpg,True,GAULLE RUE DU GENERAL DE TEAU THIERRY HAUTSDEFRANCE GOOGLE STREET VIEW AOUT 2018 VENDRE SANA SA DROUX IMMOBILIERE AGENCE M CANDAT CATHERINE ACENCE MMOBERS MMOUNIERE DROU SCUNCE CONNET COTHORINE CELST CUOS LE LOCANONS ACHATS VENTES OETS ARMES EL
A10334979101125000001_001_201807.jpg,True,ALOUER GOOGLE
A10334979101125000001_002_201807.jpg,True,CHURCHILL ON RHONE ALPES IVERGNE JUIL VIEW 2018 LUIIC CAAUS IDES LOUER A 7O22 0A
A11030101458571000001_001_201809.jpg,False,E GOOGLE
A11030101458571000001_002_201809.jpg,True,PIERRE BROSSOLETTE AVENUE TROYES GRAND EST GOOGLE STREET VIEW 2018 SEPT SCOA UT YAN SASA TREN VENDRE PELEDED BOGLE E CRONE MANIGOOE D677 GOOOL
A11030101458571000001_003_201809.jpg,True,AVENUE PIERRE BROSSOLETTE GRAND TROYES EST GOOGLE STREET VIEW SEPT 2018
A11540111337965000001_002_201102.jpg,False,D652 337 SOONSHOSSEGO NOUVELLEAQUITAIN GOOGLE STREET VIEW FEVT 201 VCGL SOLE KOKBELLI CONCEPT STORE SO DOLID
A11548039101581000001_001_201805.jpg,False,DIEILT YENNS CANONDE GAIAE AVED LCE E RR
A11548039101581000001_002_201805.jpg,True,LOCATION DE GARAGES GARDIENNAGE EN EXTERIEUR 02 97 53 84 07
A12720081678949000001_001_201809.jpg,False,S A TURE GOOGLE
A12720081678949000001_002_201809.jpg,True,GILE IOER ALOUER OP ORPI ACENCE BERNSY B MMOUUER RUUAN D
A12720081678949000001_003_201809.jpg,False,A D  OARE DE ROTISBOIRE LA LON OA
A12912121290179000001_001_201805.jpg,True,8 RUE HENRI BECQUEREL X GOUESNOU BRETAGNE GOOGLE GOO EZO6 2018 SUREET VIEW MAI SOODD P OINT COSTINCTION T LOCAUX 5 DISPONIBLES OCAUX FEGSS COONER 2 1261 MS WCOB TICSGOODO METRO AUR DATE DE 2019 FRANCE CONDITIONS SIGNALER PROBLEME IMAGE MAN S UN
A13350111297145000001_001_201804.jpg,False,STREET VIEW 2018 AVL E LEUDES LUUL ORD
A13366049105442000008_001_201904.jpg,False,GOOGLE
A13366049105442000008_002_201904.jpg,True,ATRIUM ALOUR CADEC BUREAUX DISONIBLS WECAN W QZ S O STEELCAS FREDENG MARTN
A13536101747646000001_001_201808.jpg,True,BOULANGER PATISSIER GADISAN BOULONES ATISSIET A LOUER OG 0 82113 GOOGLE
